size OdroidC2-v7-1536 OdroidC2-v8-1536 NanoPI-v7-1400 ClearFog-2000 T034-1608/396 T034-1608/480 T034-1992/396 T034-1992/480
4k 737 754 672 961 1582 1582 1959 1960
8k 737 748 666 961 1582 1582 1960 1959
16k 736 754 672 961 1581 1581 1959 1959
32k 736 753 668 961 1579 1580 1958 1958
64k 201 182 184 258 161 161 199 199
128k 188 168 171 212 135 135 167 167
256k 179 161 163 212 133 133 165 165
512k 150 113 82 214 133 133 165 165
1M 38 31 43 153 130 131 152 158
2M 26 28 35 50 71 80 74 84
4M 30 27 36 44 62 70 64 73
8M 26 21 36 43 57 63 58 66
16M 28 18 35 43 53 59 55 62
32M 27 20 35 42 53 59 55 62
64M 28 18 34 42 53 59 55 61
128M 24 16 34 42 53 59 54 61
256M 30 18 34 42 52 58 54 61
