size i7-6700k-4400 i7-4790k-4000 i5-3320m-3300 Atom-N2600-1600 OdroidC2-v7-1536 OdroidC2-v8-1536 NanoPI-v7-1400 Mirabox-1200 ClearFog-2000 T034-1608/396 T034-1608/480 T034-1992/396 T034-1992/480
4k   4398 3995 3278 760 737 754 672 585 961 1582 1582 1959 1960
8k   4398 3996 3278 761 737 748 666 584 961 1582 1582 1960 1959
16k  4363 3996 3276 757 736 754 672 585 961 1581 1581 1959 1959
32k  4355 3993 3258 187 736 753 668 584 961 1579 1580 1958 1958
64k  1935 1721 1289 187 201 182 184 220 258  161  161  199  199
128k 1969 1707 1275 185 188 168 171 220 212  135  135  167  167
256k 1609  953  855 185 179 161 163 124 212  133  133  165  165
512k 1196  814  664  77 150 113  82  66 214  133  133  165  165
1M   1190  814  662  48  38  31  43  63 153  130  131  152  158
2M   1179  814  518  48  26  28  35  62  50   71   80   74   84
4M   1179  813  301  47  30  27  36  62  44   62   70   64   73
8M    798  587  232  46  26  21  36  61  43   57   63   58   66
16M   480  278  213  46  28  18  35  61  43   53   59   55   62
32M   405  240  209  45  27  20  35  61  42   53   59   55   62
64M   379  226  208  45  28  18  34  61  42   53   59   55   61
128M  365  230  203  44  24  16  34  61  42   53   59   54   61
256M  361  230  206  45  30  18  34  60  42   52   58   54   61
