size i5-3320m-3300 i7-4790k-4000 i7-6700k-4400 Atom-N2600-1600 OdroidC2-v7-1536 OdroidC2-v8-1536 NanoPI-v7-1400 Mirabox-1200 ClearFog-2000 T034-1608/396 T034-1608/480 T034-1992/396 T034-1992/480
4k   3279  7993  8786 1456  1485  1485  1354 1094  1965  1606  1606 1990  1990
8k   3272  7993  8794 1435  1486  1486  1355  598  1968  1606  1606 1990  1990
16k  3279  7993  8786 1455  1486  1486  1340  598  1968  1606  1606 1990  1990
32k  3273  7990  8785  201  1459  1483  1352  598  1968  1605  1605 1989  1989
64k  1627  1779  2506  203   201   202   184  281   258   161   161  199   199
128k 1635  1777  2555  200   172   171   157  281   211   135   135  167   167
256k  913  1006  1988  199   165   165   151  136   213   133   133  165   165
512k  685   857  1304   77   134   110    78   67   213   133   133  165   165
1M    682   856  1296   46    43    43    47   63   152   129   130  151   157
2M    507   857  1284   45    42    42    41   63    50    72    80   74    84
4M    323   854  1283   44    40    41    40   63    44    62    70   64    73
8M    247   649   938   43    39    39    40   62    43    57    63   59    66
16M   224   307   515   44    38    38    39   62    43    53    59   55    62
32M   221   255   421   43    38    38    38   62    42    53    59   55    62
64M   220   241   400   42    38    38    38   62    42    53    59   55    62
128M  216   246   388   41    38    38    38   61    42    53    59   55    62
256M  218   246   373   42    37    36    38   61    42    52    58   54    61
