2016/07/08 - ramlat5 -- [ ramlat -s 100 16384 ]


wtap - x86_64 (core i5-3320M @3.3 GHz)
   size:     4B     8B    16B    32B    64B
     4k:   3272   3279   3278   1637    820 
     8k:   3279   3272   3278   1635    817 
    16k:   3276   3279   3276   1636    820 
    32k:   3276   3273   3258   1634    814 
    64k:   1563   1627   1289    839    496 
   128k:   1633   1635   1275    821    489 
   256k:    914    913    855    652    450 
   512k:    684    685    664    533    412 
  1024k:    684    682    662    528    411 
  2048k:    512    507    518    448    352 
  4096k:    328    323    301    271    204 
  8192k:    247    247    232    216    161 
 16384k:    224    224    213    203    164 
 32768k:    221    221    209    200    174 
 65536k:    221    220    208    199    175 
131072k:    217    216    203    197    175 
262144k:    218    218    206    197    179 

wtap - i586 (core i5-3320M @3.3 GHz)
   size:     4B     8B    16B    32B    64B
     4k:   3270   3261   1635    817    408 
     8k:   3271   3267   1634    817    408 
    16k:   3271   3267   1636    817    408 
    32k:   3269   3265   1632    817    409 
    64k:   1621   1279    837    496    276 
   128k:   1633   1271    822    496    275 
   256k:    932    879    688    452    268 
   512k:    677    661    529    411    259 
  1024k:    676    647    526    409    260 
  2048k:    561    562    469    365    241 
  4096k:    330    304    273    211    177 
  8192k:    250    233    218    169    152 
 16384k:    224    213    203    166    148 
 32768k:    222    209    201    172    149 
 65536k:    220    195    199    171    149 
131072k:    220    208    197    174    150 
262144k:    221    207    203    182    154 

ALB5200 - x86_64 (core i7 4790K - 4.00 GHz)
   size:     4B     8B    16B    32B    64B
     4k:   7993   7993   3995   1997    999 
     8k:   7993   7993   3996   1998    999 
    16k:   7993   7993   3996   1993    999 
    32k:   7990   7990   3993   1998    999 
    64k:   1788   1779   1721   1133    653 
   128k:   1774   1777   1707   1127    648 
   256k:   1006   1006    953    822    594 
   512k:    857    857    814    733    565 
  1024k:    857    856    814    733    565 
  2048k:    857    857    814    733    565 
  4096k:    856    854    813    732    564 
  8192k:    641    649    587    510    398 
 16384k:    307    307    278    273    244 
 32768k:    255    255    240    236    213 
 65536k:    241    241    226    223    203 
131072k:    246    246    230    223    202 
262144k:    246    246    230    223    202 

ALB5200 - i586 (core i7 4790K - 4.00 GHz)
   size:     4B     8B    16B    32B    64B
     4k:   7989   3986   1998    999    499 
     8k:   7990   3996   1998    999    499 
    16k:   7994   3994   1998    999    499 
    32k:   7982   3993   1997    999    499 
    64k:   1790   1711   1135    659    365 
   128k:   1784   1704   1130    657    364 
   256k:   1555   1462   1037    634    359 
   512k:    857    814    732    556    340 
  1024k:    854    814    732    556    340 
  2048k:    857    814    732    556    340 
  4096k:    856    812    731    555    340 
  8192k:    648    592    519    403    283 
 16384k:    308    278    274    241    205 
 32768k:    255    241    236    212    188 
 65536k:    241    227    223    202    180 
131072k:    234    219    217    197    177 
262144k:    240    230    224    201    180 

pcw - x86_64 (core i7 6700K 4.4 GHz - 8M cache)
   size:     4B     8B    16B    32B    64B
     4k:   8792   8786   4398   2199   1099 
     8k:   8794   8794   4398   2198   1099 
    16k:   8785   8786   4363   2190   1097 
    32k:   8784   8785   4355   2187   1095 
    64k:   2412   2506   1935   1289    701 
   128k:   2590   2555   1969   1308    700 
   256k:   1983   1988   1609   1114    664 
   512k:   1304   1304   1196    976    635 
  1024k:   1298   1296   1190    978    639 
  2048k:   1284   1284   1179    960    619 
  4096k:   1279   1283   1179    962    619 
  8192k:    952    938    798    706    487 
 16384k:    515    515    480    411    304 
 32768k:    431    421    405    379    304 
 65536k:    399    400    379    374    305 
131072k:    387    388    365    371    303 
262144k:    383    373    361    368    297 

pcw - i586 (core i7 6700K 4.4 GHz - 8M cache)
   size:     4B     8B    16B    32B    64B
     4k:   8792   4398   2199   1099    549 
     8k:   8794   4398   2199   1099    549 
    16k:   8785   4364   2189   1097    549 
    32k:   8784   4355   2182   1095    548 
    64k:   2482   1964   1283    715    354 
   128k:   2373   1844   1254    703    350 
   256k:   1942   1596   1155    681    348 
   512k:   1335   1202    968    643    340 
  1024k:   1293   1170    956    641    341 
  2048k:   1283   1171    949    627    336 
  4096k:   1283   1176    957    630    338 
  8192k:    869    731    663    465    294 
 16384k:    518    483    406    311    237 
 32768k:    426    406    378    308    239 
 65536k:    402    381    374    308    239 
131072k:    389    367    373    292    236 
262144k:    372    361    368    290    235 

NANO831 - x86_64 (Atom N2600 @ 1.6 GHz - 512kB L1)
   size:     4B     8B    16B    32B    64B
     4k:   1455   1456    760    389    196 
     8k:   1455   1435    761    388    196 
    16k:   1455   1455    757    389    196 
    32k:    203    201    187    130     89 
    64k:    202    203    187    130     89 
   128k:    197    200    185    129     89 
   256k:    199    199    185    128     89 
   512k:     74     77     77     69     56 
  1024k:     46     46     48     45     42 
  2048k:     45     45     48     45     42 
